Tumor_Sample_Barcode,Expr_level
TCGA-GJ-A3OU,TP53_high
TCGA-G3-A7M9,TP53_low
TCGA-ED-A627,TP53_high
TCGA-DD-AACB,TP53_low
TCGA-CC-5264,TP53_low
TCGA-DD-AAW3,TP53_low
TCGA-DD-AA3A,TP53_high
TCGA-DD-AAEI,TP53_low
TCGA-DD-AADF,TP53_low
TCGA-UB-A7MA,TP53_high
TCGA-EP-A3JL,TP53_high
TCGA-DD-AACZ,TP53_low
TCGA-2Y-A9HA,TP53_low
TCGA-ED-A82E,TP53_high
TCGA-ED-A66Y,TP53_high
TCGA-DD-AACF,TP53_low
TCGA-MI-A75G,TP53_low
TCGA-DD-AAEG,TP53_low
TCGA-DD-AAD2,TP53_high
TCGA-ZS-A9CF,TP53_low
TCGA-UB-A7MB,TP53_high
TCGA-DD-AACQ,TP53_low
TCGA-2Y-A9GW,TP53_high
TCGA-G3-A3CG,TP53_low
TCGA-DD-AAEH,TP53_high
TCGA-G3-A5SI,TP53_low
TCGA-BC-4072,TP53_low
TCGA-KR-A7K2,TP53_high
TCGA-RC-A6M3,TP53_low
TCGA-EP-A3RK,TP53_high
TCGA-UB-A7MC,TP53_high
TCGA-MI-A75H,TP53_high
TCGA-DD-AADY,TP53_low
TCGA-BC-A10W,TP53_high
TCGA-DD-AADN,TP53_low
TCGA-DD-AAVX,TP53_high
TCGA-QA-A7B7,TP53_high
TCGA-G3-A25Z,TP53_low
TCGA-DD-A39V,TP53_low
TCGA-5C-A9VH,TP53_high
TCGA-ZP-A9D4,TP53_high
TCGA-G3-AAV6,TP53_high
TCGA-DD-A4NG,TP53_high
TCGA-BC-A10X,TP53_high
TCGA-DD-A1EF,TP53_high
TCGA-G3-A5SL,TP53_low
TCGA-EP-A12J,TP53_high
TCGA-T1-A6J8,TP53_low
TCGA-G3-AAV0,TP53_low
TCGA-CC-A9FV,TP53_high
TCGA-XR-A8TG,TP53_low
TCGA-ED-A8O5,TP53_high
TCGA-DD-AACO,TP53_high
TCGA-DD-A3A3,TP53_low
TCGA-2Y-A9H6,TP53_high
TCGA-LG-A9QD,TP53_low
TCGA-FV-A496,TP53_low
TCGA-DD-AAE0,TP53_high
TCGA-DD-AACI,TP53_low
TCGA-DD-AAD0,TP53_low
TCGA-WQ-AB4B,TP53_high
TCGA-DD-AACW,TP53_high
TCGA-BD-A2L6,TP53_low
TCGA-DD-A3A6,TP53_high
TCGA-DD-AAW1,TP53_low
TCGA-FV-A3I0,TP53_high
TCGA-DD-A39X,TP53_high
TCGA-3K-AAZ8,TP53_high
TCGA-K7-A5RF,TP53_low
TCGA-DD-A115,TP53_low
TCGA-ED-A7PY,TP53_high
TCGA-ED-A66X,TP53_high
TCGA-ZP-A9CY,TP53_low
TCGA-DD-AACG,TP53_low
TCGA-DD-A73B,TP53_low
TCGA-RC-A7S9,TP53_low
TCGA-BC-A10S,TP53_high
TCGA-DD-A4NB,TP53_high
TCGA-CC-A5UC,TP53_high
TCGA-EP-A26S,TP53_high
TCGA-K7-A6G5,TP53_low
TCGA-2Y-A9H1,TP53_low
TCGA-G3-A25S,TP53_high
TCGA-DD-AAE3,TP53_low
TCGA-2Y-A9H3,TP53_high
TCGA-CC-5261,TP53_high
TCGA-BC-A217,TP53_high
TCGA-MI-A75C,TP53_high
TCGA-DD-AAVY,TP53_high
TCGA-DD-AADG,TP53_low
TCGA-2Y-A9H7,TP53_high
TCGA-BW-A5NO,TP53_high
TCGA-MR-A520,TP53_low
TCGA-FV-A3R2,TP53_low
TCGA-DD-A1EG,TP53_high
TCGA-CC-A7IF,TP53_low
TCGA-DD-AADC,TP53_high
TCGA-EP-A2KA,TP53_high
TCGA-DD-A39Z,TP53_high
TCGA-DD-AAE7,TP53_low
TCGA-YA-A8S7,TP53_high
TCGA-CC-5260,TP53_high
TCGA-BC-A3KF,TP53_low
TCGA-DD-AADI,TP53_high
TCGA-DD-A3A5,TP53_low
TCGA-FV-A3I1,TP53_high
TCGA-G3-A25U,TP53_low
TCGA-DD-AADB,TP53_high
TCGA-G3-AAV1,TP53_low
TCGA-G3-AAUZ,TP53_low
TCGA-G3-AAV4,TP53_low
TCGA-FV-A3R3,TP53_high
TCGA-2Y-A9H4,TP53_low
TCGA-CC-A3M9,TP53_high
TCGA-DD-A4NJ,TP53_low
TCGA-DD-AACH,TP53_low
TCGA-CC-A8HT,TP53_high
TCGA-DD-AAEB,TP53_low
TCGA-DD-A4NE,TP53_high
TCGA-DD-A114,TP53_high
TCGA-5C-AAPD,TP53_low
TCGA-DD-A1EA,TP53_high
TCGA-XR-A8TD,TP53_low
TCGA-ZS-A9CG,TP53_low
TCGA-2Y-A9H2,TP53_high
TCGA-FV-A2QQ,TP53_high
TCGA-CC-A3MC,TP53_low
TCGA-DD-AAE1,TP53_high
TCGA-DD-A4NN,TP53_high
TCGA-DD-AACK,TP53_high
TCGA-G3-A5SK,TP53_low
TCGA-DD-A4NP,TP53_low
TCGA-DD-AADL,TP53_low
TCGA-4R-AA8I,TP53_low
TCGA-KR-A7K8,TP53_high
TCGA-DD-A73A,TP53_low
TCGA-BC-A8YO,TP53_high
TCGA-2Y-A9GY,TP53_high
TCGA-DD-AAVR,TP53_low
TCGA-DD-AAE6,TP53_low
TCGA-G3-A25T,TP53_high
TCGA-BD-A3EP,TP53_high
TCGA-FV-A23B,TP53_high
TCGA-DD-AACT,TP53_high
TCGA-CC-A7IL,TP53_low
TCGA-G3-AAV7,TP53_low
TCGA-DD-A11D,TP53_low
TCGA-CC-A9FU,TP53_low
TCGA-2Y-A9HB,TP53_low
TCGA-DD-AAC9,TP53_low
TCGA-DD-AAVU,TP53_high
TCGA-DD-AAEK,TP53_low
TCGA-CC-5258,TP53_low
TCGA-FV-A495,TP53_high
TCGA-UB-A7MF,TP53_low
TCGA-CC-A7IK,TP53_low
TCGA-DD-AAED,TP53_high
TCGA-CC-5262,TP53_high
TCGA-LG-A6GG,TP53_low
TCGA-G3-A7M6,TP53_high
TCGA-2Y-A9GV,TP53_low
TCGA-DD-AACJ,TP53_low
TCGA-DD-A3A2,TP53_low
TCGA-ED-A97K,TP53_high
TCGA-CC-A5UD,TP53_high
TCGA-DD-AAE9,TP53_high
TCGA-DD-AAC8,TP53_high
TCGA-WJ-A86L,TP53_low
TCGA-DD-A4NF,TP53_high
TCGA-DD-A1EB,TP53_low
TCGA-GJ-A9DB,TP53_low
TCGA-2Y-A9H9,TP53_low
TCGA-DD-AAD5,TP53_high
TCGA-5R-AAAM,TP53_low
TCGA-ED-A4XI,TP53_high
TCGA-BC-A10Y,TP53_low
TCGA-DD-A73E,TP53_low
TCGA-DD-AADK,TP53_high
TCGA-EP-A2KB,TP53_high
TCGA-XR-A8TF,TP53_high
TCGA-DD-AADM,TP53_high
TCGA-GJ-A6C0,TP53_low
TCGA-DD-A1EJ,TP53_high
TCGA-2V-A95S,TP53_high
TCGA-K7-AAU7,TP53_high
TCGA-DD-AAW0,TP53_high
TCGA-XR-A8TE,TP53_high
TCGA-G3-A6UC,TP53_low
TCGA-BC-A112,TP53_high
TCGA-ED-A459,TP53_low
TCGA-NI-A8LF,TP53_low
TCGA-BC-A5W4,TP53_low
TCGA-CC-A7IE,TP53_high
TCGA-5R-AA1D,TP53_high
TCGA-CC-A7II,TP53_high
TCGA-DD-AACA,TP53_high
TCGA-DD-A73C,TP53_low
TCGA-KR-A7K7,TP53_high
TCGA-DD-AAVP,TP53_low
TCGA-DD-AAD1,TP53_high
TCGA-DD-AADS,TP53_low
TCGA-DD-A3A1,TP53_high
TCGA-RC-A7SB,TP53_low
TCGA-DD-AAVZ,TP53_high
TCGA-2Y-A9GT,TP53_low
TCGA-DD-AADQ,TP53_high
TCGA-DD-A119,TP53_low
TCGA-DD-A4NO,TP53_low
TCGA-BW-A5NP,TP53_high
TCGA-DD-A4NA,TP53_high
TCGA-MI-A75E,TP53_low
TCGA-BC-A10Q,TP53_high
TCGA-DD-AAEE,TP53_low
TCGA-BC-A3KG,TP53_high
TCGA-DD-A3A7,TP53_low
TCGA-CC-A8HV,TP53_high
TCGA-DD-AACN,TP53_high
TCGA-G3-A25V,TP53_low
TCGA-DD-AAVS,TP53_high
TCGA-CC-A3MB,TP53_high
TCGA-ZP-A9D0,TP53_low
TCGA-DD-AAE2,TP53_low
TCGA-RG-A7D4,TP53_high
TCGA-DD-A4NK,TP53_low
TCGA-DD-A39W,TP53_high
TCGA-DD-AADJ,TP53_high
TCGA-DD-AACA,TP53_low
TCGA-CC-5263,TP53_low
TCGA-DD-A11C,TP53_high
TCGA-DD-A4NL,TP53_low
TCGA-HP-A5N0,TP53_low
TCGA-ZP-A9D1,TP53_high
TCGA-ES-A2HS,TP53_low
TCGA-UB-AA0U,TP53_high
TCGA-DD-AAD3,TP53_low
TCGA-BW-A5NQ,TP53_low
TCGA-DD-A11B,TP53_high
TCGA-G3-A25Y,TP53_high
TCGA-DD-AACA,TP53_low
TCGA-CC-A7IH,TP53_high
TCGA-MR-A8JO,TP53_high
TCGA-2Y-A9GX,TP53_high
TCGA-DD-AACS,TP53_high
TCGA-K7-A5RG,TP53_low
TCGA-DD-A1ED,TP53_low
TCGA-DD-AADV,TP53_low
TCGA-DD-AAD8,TP53_low
TCGA-DD-A4NQ,TP53_low
TCGA-NI-A4U2,TP53_low
TCGA-G3-AAV5,TP53_high
TCGA-G3-AAV2,TP53_high
TCGA-BC-A216,TP53_high
TCGA-DD-AAEA,TP53_low
TCGA-EP-A2KC,TP53_low
TCGA-RC-A6M5,TP53_low
TCGA-2Y-A9GU,TP53_low
TCGA-BC-A10T,TP53_low
TCGA-RC-A7SK,TP53_low
TCGA-BC-A69H,TP53_low
TCGA-DD-AAVW,TP53_high
TCGA-DD-AADO,TP53_high
TCGA-ZS-A9CD,TP53_high
TCGA-DD-AACU,TP53_high
TCGA-G3-A7M5,TP53_low
TCGA-WQ-A9G7,TP53_high
TCGA-G3-A5SJ,TP53_high
TCGA-O8-A75V,TP53_low
TCGA-ED-A5KG,TP53_high
TCGA-CC-A8HU,TP53_high
TCGA-DD-AACV,TP53_low
TCGA-CC-A8HS,TP53_high
TCGA-CC-A123,TP53_low
TCGA-DD-A3A9,TP53_low
TCGA-DD-A4ND,TP53_high
TCGA-ZP-A9CV,TP53_high
TCGA-ED-A7XO,TP53_low
TCGA-ZP-A9D2,TP53_high
TCGA-2Y-A9GZ,TP53_low
TCGA-DD-A11A,TP53_low
TCGA-LG-A9QC,TP53_high
TCGA-DD-A4NV,TP53_low
TCGA-CC-A7IG,TP53_low
TCGA-DD-AADR,TP53_high
TCGA-BC-A110,TP53_low
TCGA-DD-A118,TP53_low
TCGA-UB-A7ME,TP53_high
TCGA-DD-A4NI,TP53_low
TCGA-G3-A3CI,TP53_low
TCGA-DD-AACY,TP53_high
TCGA-2Y-A9H5,TP53_high
TCGA-ZS-A9CF,TP53_low
TCGA-RC-A6M6,TP53_low
TCGA-XR-A8TC,TP53_low
TCGA-RC-A7SF,TP53_low
TCGA-CC-A7IJ,TP53_high
TCGA-DD-A1EL,TP53_high
TCGA-BC-A10Z,TP53_low
TCGA-BC-4073,TP53_low
TCGA-G3-A5SM,TP53_low
TCGA-DD-AAVQ,TP53_high
TCGA-CC-5259,TP53_low
TCGA-DD-AAE4,TP53_low
TCGA-DD-AACL,TP53_high
TCGA-DD-AADW,TP53_high
TCGA-DD-A39Y,TP53_low
TCGA-ED-A7PZ,TP53_low
TCGA-DD-AAD6,TP53_low
TCGA-RC-A6M4,TP53_low
TCGA-KR-A7K0,TP53_low
TCGA-DD-A73D,TP53_low
TCGA-DD-AADU,TP53_low
TCGA-G3-A3CJ,TP53_low
TCGA-DD-A1EI,TP53_low
TCGA-DD-A4NS,TP53_high
TCGA-ED-A7PX,TP53_high
TCGA-BD-A3ER,TP53_high
TCGA-2Y-A9H0,TP53_low
TCGA-DD-AACP,TP53_high
TCGA-2Y-A9GS,TP53_high
TCGA-5R-AA1C,TP53_high
TCGA-DD-AACE,TP53_low
TCGA-WX-AA44,TP53_low
TCGA-ED-A7XP,TP53_low
TCGA-DD-A1EC,TP53_low
TCGA-DD-AAVV,TP53_low
TCGA-2Y-A9H8,TP53_high
TCGA-RC-A7SH,TP53_high
TCGA-ZS-A9CE,TP53_low
TCGA-BC-A10U,TP53_high
TCGA-ZP-A9CZ,TP53_high
TCGA-DD-AAW2,TP53_high
TCGA-G3-A25X,TP53_low
TCGA-DD-AADA,TP53_low
TCGA-DD-AACD,TP53_high
TCGA-G3-AAV3,TP53_high
TCGA-G3-A3CH,TP53_low
TCGA-G3-A3CK,TP53_high
TCGA-5C-A9VG,TP53_high
TCGA-G3-A7M8,TP53_low
TCGA-DD-A4NR,TP53_high
TCGA-FV-A4ZP,TP53_high
TCGA-UB-AA0V,TP53_high
TCGA-DD-A116,TP53_low
TCGA-DD-A1EH,TP53_high
TCGA-CC-A9FS,TP53_high
TCGA-DD-A1EK,TP53_low
TCGA-CC-A3MA,TP53_high
TCGA-DD-A4NH,TP53_low
TCGA-PD-A5DF,TP53_low
TCGA-UB-A7MD,TP53_low
TCGA-BC-A69I,TP53_low
TCGA-FV-A2QR,TP53_low
TCGA-DD-AACC,TP53_high
TCGA-WX-AA47,TP53_high
TCGA-MI-A75I,TP53_low
TCGA-ED-A8O6,TP53_low
TCGA-CC-A1HT,TP53_high
TCGA-HP-A5MZ,TP53_high
TCGA-DD-A113,TP53_high
TCGA-DD-A3A8,TP53_low
TCGA-DD-AADP,TP53_high
TCGA-DD-A73G,TP53_high
TCGA-G3-A7M7,TP53_high
TCGA-CC-A5UE,TP53_high
TCGA-DD-AACX,TP53_low
TCGA-DD-AADD,TP53_high
TCGA-DD-A73F,TP53_low
TCGA-CC-A9FW,TP53_high
TCGA-BC-A10R,TP53_low
TCGA-ES-A2HT,TP53_low
TCGA-DD-A3A4,TP53_low
TCGA-WX-AA46,TP53_low
TCGA-DD-A1EE,TP53_high
TCGA-FV-A4ZQ,TP53_high
